Financial Year,NSE As On,NSE MTF Book (Rs Cr),BSE As On,BSE MTF Book (Rs Cr),Total MTF Book (Rs Cr)
2026-27 (in progress),2026-08-06,139137.32,2026-08-06,6151.99,145289.31
2025-26,2026-03-30,105919.61,2026-03-30,3865.92,109785.53
2024-25,2025-03-28,68069.53,2025-03-27,3.53,68073.06
2023-24,2024-03-28,54502.91,,,54502.91
2022-23,2023-03-31,24917.91,,,24917.91
2021-22,2022-03-30,23974.89,,,23974.89
2020-21,2021-03-31,12084.34,,,12084.34
2019-20,2020-03-31,3061.09,,,3061.09
